name,latitude,longitude,type
103B EDGEFIELD PLAINS,1.397731275,103.9046854,HDB Property
103C EDGEFIELD PLAINS,1.397266608,103.9045384,HDB Property
104 ALJUNIED CRES,1.320068866,103.8828181,HDB Property
104 BEDOK RESERVOIR RD,1.329245367,103.9099237,HDB Property
104 BEDOK NTH AVE 4,1.333298521,103.9366015,HDB Property
104 BISHAN ST 12,1.345675021,103.8480329,HDB Property
104 BT BATOK CTRL,1.348995003,103.7472582,HDB Property
104 BT PURMEI RD,1.272398536,103.8256255,HDB Property
104 C'WEALTH CRES,1.307958753,103.7999769,HDB Property
104 CANBERRA ST,1.450279674,103.8318969,HDB Property
104 CLEMENTI ST 14,1.322949685,103.7691892,HDB Property
104 GANGSA RD,1.378803995,103.7679688,HDB Property
104 HENDERSON CRES,1.289369275,103.8215381,HDB Property
104 HOUGANG AVE 1,1.354784387,103.8903185,HDB Property
104 JLN DUSUN,1.328425305,103.8441424,HDB Property
104 JLN RAJAH,1.32780497,103.8532623,HDB Property
104 JLN BT MERAH,1.281025155,103.8244609,HDB Property
104 JURONG EAST ST 13,1.336584653,103.7376233,HDB Property
104 LENGKONG TIGA,1.325634967,103.9098152,HDB Property
104 LOR 1 TOA PAYOH,1.340108877,103.8491078,HDB Property
104 PASIR RIS ST 12,1.367952786,103.9587026,HDB Property
104 POTONG PASIR AVE 1,1.334339169,103.8691589,HDB Property
104 RIVERVALE WALK,1.382627459,103.9009299,HDB Property
104 SERANGOON NTH AVE 1,1.370593162,103.8710868,HDB Property
104 SPOTTISWOODE PK RD,1.274427547,103.8348788,HDB Property
104 TAMPINES ST 11,1.347205767,103.9466418,HDB Property
104 TECK WHYE LANE,1.377081621,103.7528704,HDB Property
104 TOWNER RD,1.319823545,103.8609797,HDB Property
104 WHAMPOA DR,1.320799591,103.8533278,HDB Property
104 WOODLANDS ST 13,1.436465871,103.7815769,HDB Property
104 YISHUN RING RD,1.431447752,103.8285377,HDB Property
104A ANG MO KIO ST 11,1.371827009,103.8388037,HDB Property
104A BIDADARI PK DR,1.335321978,103.870934,HDB Property
104A CANBERRA ST,1.450352258,103.8322624,HDB Property
104A DEPOT RD,1.280455613,103.8123177,HDB Property
104A EDGEFIELD PLAINS,1.396805705,103.9050542,HDB Property
104A HENDERSON CRES,1.28903386,103.8214872,HDB Property
104B ANG MO KIO ST 11,1.371511514,103.8384588,HDB Property
104B CANBERRA ST,1.450074217,103.831377,HDB Property
104B DEPOT RD,1.28049144,103.8121008,HDB Property
104B EDGEFIELD PLAINS,1.396608862,103.9053038,HDB Property
104C ANG MO KIO ST 11,1.371933159,103.8383303,HDB Property
104C CANBERRA ST,1.449709995,103.831776,HDB Property
104C DEPOT RD,1.280546807,103.8115715,HDB Property
104D CANBERRA ST,1.449856324,103.832367,HDB Property
105 ALJUNIED CRES,1.319468621,103.8827515,HDB Property
105 ANG MO KIO AVE 4,1.372313283,103.8376011,HDB Property
105 BEDOK RESERVOIR RD,1.329144379,103.9091128,HDB Property
105 BEDOK NTH AVE 4,1.333722809,103.9365177,HDB Property
105 BISHAN ST 12,1.345894936,103.8473653,HDB Property
105 BIDADARI PK DR,1.333784436,103.8704083,HDB Property
105 BT BATOK CTRL,1.348572654,103.7471562,HDB Property
105 BT PURMEI RD,1.272483013,103.824703,HDB Property
105 CANBERRA ST,1.448855647,103.8324092,HDB Property
105 CLEMENTI ST 12,1.32271179,103.7698881,HDB Property
105 DEPOT RD,1.28089298,103.8123553,HDB Property
105 EDGEFIELD PLAINS,1.397229386,103.9055909,HDB Property
105 GANGSA RD,1.378312421,103.7677633,HDB Property
105 HENDERSON CRES,1.290214202,103.8223568,HDB Property
105 HOUGANG AVE 1,1.354082739,103.8901304,HDB Property
105 JLN RAJAH,1.3285791,103.8538725,HDB Property
105 JLN BT MERAH,1.280632398,103.8249355,HDB Property
105 JURONG EAST ST 13,1.337387468,103.7385276,HDB Property
105 LENGKONG TIGA,1.325648315,103.9101122,HDB Property
105 LOR 1 TOA PAYOH,1.340422641,103.8491094,HDB Property
105 PASIR RIS ST 12,1.368437921,103.9575388,HDB Property
105 POTONG PASIR AVE 1,1.334423732,103.8686968,HDB Property
105 RIVERVALE WALK,1.382156131,103.9007119,HDB Property
105 SERANGOON NTH AVE 1,1.370247459,103.870226,HDB Property
105 SIMEI ST 1,1.340924594,103.9507425,HDB Property
105 SPOTTISWOODE PK RD,1.273800756,103.8344822,HDB Property
105 TAMPINES ST 11,1.348093125,103.9471776,HDB Property
105 TECK WHYE LANE,1.37765002,103.7529943,HDB Property
